current time,scenario,number type vehicles,number paths,average stations per path,number candidate locations,total time,time Gurobi run (s),number constraints,number variables,number integer variables,number binary variables,MIP gap,node count,initial gap,time first incumbent,status,machine,solution algorithm,total refuelling cost,total location cost,total discount,total cost,fingerprint
23:08.1,tv2-pa10-ow30-cl20-su2-lenPath2000,2,10,198.1,27,92.99323201,76.73017693,20230,11989,4021,3991,0.000082,32039,1.57E+95,0.053823948,2,20L8PC0W2YGL,drx3-mipstart-RFEP,85110.89631,336.0275768,22897.19857,62549.72532,
16:29.0,tv2-pa50-ow30-cl10-su3-lenPath2000,2,50,156.24,24,1332.771456,1258.389912,79324,47137,15682,15652,0.0000969,79346,4.20E+94,0.157617092,2,20L8PC0W2YGL,drx3-mipstart-RFEP,375856.3528,508.3772598,146512.3706,229852.3594,
10:04.4,tv2-pa10-ow30-cl20-su2-lenPath2000,2,10,198.1,27,112.3402326,89.61946297,20230,11989,4021,3991,0.0000271,21208,1.57E+95,0.071809769,2,20L8PC0W2YGL,drx3-mipstart-RFEP,85110.89631,336.0275768,22897.19857,62549.72532,
10:04.4,tv2-pa10-ow30-cl10-su3-lenPath2000,2,10,198.1,20,39.69977927,20.99193573,20162,11987,4016,3986,0.0000501,1210,1.54E+95,0.046496391,2,20L8PC0W2YGL,drx3-mipstart-RFEP,85317.22726,303.3425256,21636.5467,63984.02308,
10:04.4,tv2-pa10-ow30-cl5-su3-lenPath2000,2,10,198.1,16,64.21926498,48.55154419,20102,11983,4012,3982,0.0000699,16261,1.54E+95,0.060086012,2,20L8PC0W2YGL,drx3-mipstart-RFEP,83907.94733,211.2740205,20259.9859,63859.23546,
10:04.4,tv2-pa10-ow30-cl5-su2-lenPath2000,2,10,198.1,16,53273.70349,53257.51876,20094,11978,4010,3980,0.000714214,16366,1.58E+95,0.048873425,9,20L8PC0W2YGL,drx3-mipstart-RFEP,84837.30997,206.2740205,22626.95424,62416.62975,
10:04.4,tv2-pa10-ow20-cl20-su3-lenPath2000,2,10,198.1,20,42.80856705,9.556581497,20096,11977,4006,3986,0.0000744,4721,2.01E+95,0.038894892,2,20L8PC0W2YGL,drx3-mipstart-RFEP,81057.47884,906.4088833,35177.13807,46786.74966,
10:04.4,tv2-pa10-ow20-cl20-su2-lenPath2000,2,10,198.1,20,21.39279652,9.778549194,20088,11972,4004,3984,0.0000642,3823,2.04E+95,0.041911602,2,20L8PC0W2YGL,drx3-mipstart-RFEP,85274.55229,0,39150.6858,46123.86649,
10:04.4,tv2-pa10-ow20-cl10-su2-lenPath2000,2,10,198.1,17,15.47796535,2.618593216,20064,11969,4001,3981,0.0000936,1,2.11E+95,0.041854858,2,20L8PC0W2YGL,drx3-mipstart-RFEP,79878.16868,126.6408568,34618.53507,45386.27447,
10:04.4,tv2-pa10-ow20-cl5-su3-lenPath2000,2,10,198.1,15,14.34671068,2.611505508,20052,11972,4001,3981,0.0000544,1,2.10E+95,0.043873787,2,20L8PC0W2YGL,drx3-mipstart-RFEP,79888.8357,114.4272589,34261.61263,45741.65033,
10:04.4,tv2-pa10-ow20-cl5-su2-lenPath2000,2,10,198.1,15,13.7677269,2.219633102,20044,11967,3999,3979,3.17E-13,1,2.11E+95,0.041119337,2,20L8PC0W2YGL,drx3-mipstart-RFEP,79878.16868,114.4272589,34618.53507,45374.06087,
10:04.4,tv2-pa10-ow20-cl1-su3-lenPath2000,2,10,198.1,11,17.47452807,5.71021843,20004,11968,3997,3977,0.00000046,2121,2.10E+95,0.039882898,2,20L8PC0W2YGL,drx3-mipstart-RFEP,79888.83573,99.7057307,34261.61274,45726.92873,
10:04.4,tv2-pa10-ow20-cl1-su2-lenPath2000,2,10,198.1,11,14.09200644,2.263385773,19996,11963,3995,3975,1.31E-13,1,2.12E+95,0.040890694,2,20L8PC0W2YGL,drx3-mipstart-RFEP,79878.16868,99.7057307,34618.53507,45359.33934,
10:04.4,tv2-pa10-ow10-cl10-su3-lenPath2000,2,10,198.1,10,14.45585799,3.487880707,19978,11957,3986,3976,0.0000674,954,2.42E+95,0.038894653,2,20L8PC0W2YGL,drx3-mipstart-RFEP,79941.40528,0,38983.93348,40957.4718,
10:04.4,tv2-pa10-ow5-cl5-su2-lenPath2000,2,10,198.1,5,13.56419945,3.340869904,19905,11942,3974,3969,0.000054,308,2.61E+95,0.049324751,2,20L8PC0W2YGL,drx3-mipstart-RFEP,77458.88604,0,39141.04426,38317.84178,
10:04.4,tv2-pa10-ow5-cl1-su3-lenPath2000,2,10,198.1,4,14.5578537,3.862735748,19909,11946,3975,3970,0.0000996,1,2.59E+95,0.039898634,2,20L8PC0W2YGL,drx3-mipstart-RFEP,76434.45987,113.2731602,38066.088,38481.64503,
